call_id,service_length,arrival_time,interarrival_time
1,863,2021-01-01 08:00:00,0 days 00:00:00
2,289,2021-01-01 08:02:42,0 days 00:02:42
3,108,2021-01-01 08:08:24,0 days 00:05:42
4,247,2021-01-01 08:09:37,0 days 00:01:13
5,258,2021-01-01 08:11:10,0 days 00:01:33
6,340,2021-01-01 08:22:33,0 days 00:11:23
7,656,2021-01-01 08:23:18,0 days 00:00:45
8,341,2021-01-01 08:23:57,0 days 00:00:39
9,23,2021-01-01 08:25:08,0 days 00:01:11
10,582,2021-01-01 08:27:58,0 days 00:02:50
11,138,2021-01-01 08:28:13,0 days 00:00:15
12,232,2021-01-01 08:28:25,0 days 00:00:12
13,620,2021-01-01 08:36:04,0 days 00:07:39
14,50,2021-01-01 08:36:13,0 days 00:00:09
15,729,2021-01-01 08:43:28,0 days 00:07:15
16,272,2021-01-01 08:43:59,0 days 00:00:31
17,624,2021-01-01 08:46:05,0 days 00:02:06
18,13,2021-01-01 08:47:27,0 days 00:01:22
19,1328,2021-01-01 08:53:59,0 days 00:06:32
20,2043,2021-01-01 08:54:33,0 days 00:00:34
21,40,2021-01-01 09:00:35,0 days 00:06:02
22,218,2021-01-01 09:09:18,0 days 00:08:43
23,92,2021-01-01 09:12:34,0 days 00:03:16
24,296,2021-01-01 09:14:45,0 days 00:02:11
25,496,2021-01-01 09:23:00,0 days 00:08:15
26,493,2021-01-01 09:36:29,0 days 00:13:29
27,492,2021-01-01 09:48:44,0 days 00:12:15
28,392,2021-01-01 09:52:07,0 days 00:03:23
29,223,2021-01-01 09:56:33,0 days 00:04:26
30,327,2021-01-01 09:58:28,0 days 00:01:55
31,651,2021-01-01 10:01:19,0 days 00:02:51
32,219,2021-01-01 10:01:28,0 days 00:00:09
33,379,2021-01-01 10:03:34,0 days 00:02:06
34,205,2021-01-01 10:04:41,0 days 00:01:07
35,385,2021-01-01 10:12:53,0 days 00:08:12
36,369,2021-01-01 10:12:53,0 days 00:00:00
37,269,2021-01-01 10:27:25,0 days 00:14:32
38,551,2021-01-01 10:43:06,0 days 00:15:41
39,164,2021-01-01 10:50:34,0 days 00:07:28
40,65,2021-01-01 10:58:55,0 days 00:08:21
41,73,2021-01-01 11:04:30,0 days 00:05:35
42,105,2021-01-01 11:08:13,0 days 00:03:43
43,231,2021-01-01 11:10:56,0 days 00:02:43
44,25,2021-01-01 11:16:01,0 days 00:05:05
45,77,2021-01-01 11:18:59,0 days 00:02:58
46,491,2021-01-01 11:22:36,0 days 00:03:37
47,65,2021-01-01 11:24:51,0 days 00:02:15
48,62,2021-01-01 11:28:33,0 days 00:03:42
49,131,2021-01-01 11:28:40,0 days 00:00:07
50,118,2021-01-01 11:31:57,0 days 00:03:17
51,378,2021-01-01 11:36:07,0 days 00:04:10
52,455,2021-01-01 11:36:19,0 days 00:00:12
53,5,2021-01-01 11:37:49,0 days 00:01:30
54,465,2021-01-01 11:42:18,0 days 00:04:29
55,98,2021-01-01 11:45:03,0 days 00:02:45
56,232,2021-01-01 11:45:21,0 days 00:00:18
57,480,2021-01-01 11:49:05,0 days 00:03:44
58,162,2021-01-01 11:55:09,0 days 00:06:04
59,512,2021-01-01 11:56:45,0 days 00:01:36
60,216,2021-01-01 11:59:48,0 days 00:03:03
61,277,2021-01-01 12:03:57,0 days 00:04:09
62,3,2021-01-01 12:08:13,0 days 00:04:16
63,163,2021-01-01 12:14:28,0 days 00:06:15
64,547,2021-01-01 12:14:59,0 days 00:00:31
65,25,2021-01-01 12:16:43,0 days 00:01:44
66,38,2021-01-01 12:26:38,0 days 00:09:55
67,891,2021-01-01 12:28:23,0 days 00:01:45
68,3,2021-01-01 12:32:14,0 days 00:03:51
69,146,2021-01-01 12:42:19,0 days 00:10:05
70,569,2021-01-01 12:42:29,0 days 00:00:10
71,264,2021-01-01 12:44:03,0 days 00:01:34
72,289,2021-01-01 12:47:27,0 days 00:03:24
73,68,2021-01-01 12:48:54,0 days 00:01:27
74,137,2021-01-01 12:52:00,0 days 00:03:06
75,292,2021-01-01 12:55:42,0 days 00:03:42
76,462,2021-01-01 12:56:38,0 days 00:00:56
77,837,2021-01-01 13:03:51,0 days 00:07:13
78,76,2021-01-01 13:07:29,0 days 00:03:38
79,42,2021-01-01 13:10:32,0 days 00:03:03
80,249,2021-01-01 13:15:42,0 days 00:05:10
81,1384,2021-01-01 13:26:19,0 days 00:10:37
82,414,2021-01-01 13:32:14,0 days 00:05:55
83,69,2021-01-01 13:38:38,0 days 00:06:24
84,1521,2021-01-01 13:43:29,0 days 00:04:51
85,98,2021-01-01 13:48:25,0 days 00:04:56
86,645,2021-01-01 13:52:34,0 days 00:04:09
87,39,2021-01-01 13:55:12,0 days 00:02:38
88,210,2021-01-01 14:01:05,0 days 00:05:53
89,49,2021-01-01 14:09:53,0 days 00:08:48
90,84,2021-01-01 14:10:01,0 days 00:00:08
91,269,2021-01-01 14:11:42,0 days 00:01:41
92,28,2021-01-01 14:11:59,0 days 00:00:17
93,141,2021-01-01 14:13:16,0 days 00:01:17
94,163,2021-01-01 14:15:26,0 days 00:02:10
95,189,2021-01-01 14:15:28,0 days 00:00:02
96,308,2021-01-01 14:23:38,0 days 00:08:10
97,64,2021-01-01 14:25:24,0 days 00:01:46
98,580,2021-01-01 14:27:34,0 days 00:02:10
99,35,2021-01-01 14:29:15,0 days 00:01:41
100,141,2021-01-01 14:37:03,0 days 00:07:48
101,35,2021-01-01 14:40:39,0 days 00:03:36
102,244,2021-01-01 14:44:41,0 days 00:04:02
103,239,2021-01-01 14:45:17,0 days 00:00:36
104,100,2021-01-01 14:46:22,0 days 00:01:05
105,191,2021-01-01 14:48:18,0 days 00:01:56
106,104,2021-01-01 14:50:42,0 days 00:02:24
107,359,2021-01-01 14:52:32,0 days 00:01:50
108,98,2021-01-01 14:57:33,0 days 00:05:01
109,82,2021-01-01 15:01:09,0 days 00:03:36
110,144,2021-01-01 15:12:59,0 days 00:11:50
111,466,2021-01-01 15:14:00,0 days 00:01:01
112,396,2021-01-01 15:20:04,0 days 00:06:04
113,293,2021-01-01 15:24:53,0 days 00:04:49
114,23,2021-01-01 15:28:45,0 days 00:03:52
115,786,2021-01-01 15:31:19,0 days 00:02:34
116,398,2021-01-01 15:36:03,0 days 00:04:44
117,242,2021-01-01 15:40:06,0 days 00:04:03
118,25,2021-01-01 15:45:26,0 days 00:05:20
119,27,2021-01-01 15:48:00,0 days 00:02:34
120,104,2021-01-01 15:57:47,0 days 00:09:47
121,357,2021-01-01 16:01:34,0 days 00:03:47
122,469,2021-01-01 16:02:40,0 days 00:01:06
123,14,2021-01-01 16:04:17,0 days 00:01:37
124,39,2021-01-01 16:04:35,0 days 00:00:18
125,470,2021-01-01 16:05:44,0 days 00:01:09
126,194,2021-01-01 16:19:27,0 days 00:13:43
127,303,2021-01-01 16:21:43,0 days 00:02:16
128,247,2021-01-01 16:22:24,0 days 00:00:41
129,210,2021-01-01 16:32:29,0 days 00:10:05
130,543,2021-01-01 16:37:36,0 days 00:05:07
131,735,2021-01-01 16:45:07,0 days 00:07:31
132,1141,2021-01-01 16:51:02,0 days 00:05:55
133,478,2021-01-01 16:53:58,0 days 00:02:56
134,34,2021-01-01 16:54:24,0 days 00:00:26
135,153,2021-01-01 17:00:47,0 days 00:06:23
136,97,2021-01-01 17:03:27,0 days 00:02:40
137,159,2021-01-01 17:05:08,0 days 00:01:41
138,459,2021-01-01 17:11:17,0 days 00:06:09
139,52,2021-01-01 17:28:48,0 days 00:17:31
140,124,2021-01-01 17:30:19,0 days 00:01:31
141,412,2021-01-01 17:31:47,0 days 00:01:28
142,18,2021-01-01 17:32:56,0 days 00:01:09
143,373,2021-01-01 17:33:15,0 days 00:00:19
144,298,2021-01-01 17:38:43,0 days 00:05:28
145,139,2021-01-01 17:49:28,0 days 00:10:45
146,115,2021-01-01 17:54:24,0 days 00:04:56
147,293,2021-01-04 08:00:00,2 days 14:05:36
148,48,2021-01-04 08:00:22,0 days 00:00:22
149,175,2021-01-04 08:00:38,0 days 00:00:16
150,81,2021-01-04 08:02:49,0 days 00:02:11
