call_id,service_length,arrival_time,interarrival_time
601,0,2021-01-07 09:55:18,2
602,1,2021-01-07 09:56:45,1
603,11,2021-01-07 10:01:53,5
604,12,2021-01-07 10:13:53,12
605,11,2021-01-07 10:14:15,0
606,11,2021-01-07 10:16:20,2
607,15,2021-01-07 10:16:49,0
608,13,2021-01-07 10:17:09,0
609,2,2021-01-07 10:17:12,0
610,11,2021-01-07 10:44:13,27
611,7,2021-01-07 10:50:58,6
612,2,2021-01-07 10:52:39,1
613,12,2021-01-07 10:54:30,1
614,4,2021-01-07 11:02:50,8
615,4,2021-01-07 11:11:35,8
616,2,2021-01-07 11:21:17,9
617,37,2021-01-07 11:23:43,2
618,10,2021-01-07 11:23:59,0
619,0,2021-01-07 11:32:11,8
620,13,2021-01-07 11:33:21,1
621,11,2021-01-07 11:33:49,0
622,2,2021-01-07 11:37:00,3
623,8,2021-01-07 11:38:40,1
624,8,2021-01-07 11:42:58,4
625,17,2021-01-07 11:49:57,6
626,0,2021-01-07 11:54:32,4
627,1,2021-01-07 11:59:07,4
628,4,2021-01-07 12:02:25,3
629,1,2021-01-07 12:04:32,2
630,1,2021-01-07 12:08:41,4
631,4,2021-01-07 12:21:46,13
632,0,2021-01-07 12:25:13,3
633,2,2021-01-07 12:25:17,0
634,2,2021-01-07 12:31:55,6
635,13,2021-01-07 12:33:16,1
636,0,2021-01-07 12:47:41,14
637,12,2021-01-07 12:49:46,2
638,0,2021-01-07 12:55:41,5
639,33,2021-01-07 13:10:29,14
640,3,2021-01-07 13:11:08,0
641,5,2021-01-07 13:11:14,0
642,0,2021-01-07 13:12:53,1
643,5,2021-01-07 13:17:26,4
644,3,2021-01-07 13:22:09,4
645,17,2021-01-07 13:25:26,3
646,11,2021-01-07 13:30:45,5
647,7,2021-01-07 13:31:41,0
648,2,2021-01-07 13:33:31,1
649,1,2021-01-07 13:35:13,1
650,6,2021-01-07 13:36:02,0
651,10,2021-01-07 13:37:07,1
652,3,2021-01-07 13:39:35,2
653,3,2021-01-07 13:40:25,0
654,4,2021-01-07 13:49:01,8
655,6,2021-01-07 13:49:28,0
656,2,2021-01-07 13:49:41,0
657,3,2021-01-07 13:51:20,1
658,0,2021-01-07 13:51:58,0
659,0,2021-01-07 13:56:33,4
660,4,2021-01-07 14:14:44,18
661,6,2021-01-07 14:24:23,9
662,10,2021-01-07 14:25:31,1
663,4,2021-01-07 14:29:49,4
664,2,2021-01-07 14:53:36,23
665,2,2021-01-07 14:56:17,2
666,12,2021-01-07 14:57:29,1
667,11,2021-01-07 15:07:10,9
668,10,2021-01-07 15:12:19,5
669,5,2021-01-07 15:18:15,5
670,6,2021-01-07 15:19:40,1
671,10,2021-01-07 15:23:29,3
672,0,2021-01-07 15:25:40,2
673,0,2021-01-07 15:27:51,2
674,2,2021-01-07 15:27:58,0
675,0,2021-01-07 15:29:18,1
676,0,2021-01-07 15:29:27,0
677,4,2021-01-07 15:38:02,8
678,0,2021-01-07 15:41:07,3
679,1,2021-01-07 15:56:46,15
680,16,2021-01-07 16:01:55,5
681,1,2021-01-07 16:10:37,8
682,4,2021-01-07 16:16:07,5
683,1,2021-01-07 16:16:23,0
684,6,2021-01-07 16:17:17,0
