call_id,service_length,arrival_time,interarrival_time
1,14,2021-01-01 08:00:00,0
2,4,2021-01-01 08:02:42,2
3,1,2021-01-01 08:08:24,5
4,4,2021-01-01 08:09:37,1
5,4,2021-01-01 08:11:10,1
6,5,2021-01-01 08:22:33,11
7,10,2021-01-01 08:23:18,0
8,5,2021-01-01 08:23:57,0
9,0,2021-01-01 08:25:08,1
10,9,2021-01-01 08:27:58,2
11,2,2021-01-01 08:28:13,0
12,3,2021-01-01 08:28:25,0
13,10,2021-01-01 08:36:04,7
14,0,2021-01-01 08:36:13,0
15,12,2021-01-01 08:43:28,7
16,4,2021-01-01 08:43:59,0
17,10,2021-01-01 08:46:05,2
18,0,2021-01-01 08:47:27,1
19,22,2021-01-01 08:53:59,6
20,34,2021-01-01 08:54:33,0
21,0,2021-01-01 09:00:35,6
22,3,2021-01-01 09:09:18,8
23,1,2021-01-01 09:12:34,3
24,4,2021-01-01 09:14:45,2
25,8,2021-01-01 09:23:00,8
26,8,2021-01-01 09:36:29,13
27,8,2021-01-01 09:48:44,12
28,6,2021-01-01 09:52:07,3
29,3,2021-01-01 09:56:33,4
30,5,2021-01-01 09:58:28,1
31,10,2021-01-01 10:01:19,2
32,3,2021-01-01 10:01:28,0
33,6,2021-01-01 10:03:34,2
34,3,2021-01-01 10:04:41,1
35,6,2021-01-01 10:12:53,8
36,6,2021-01-01 10:12:53,0
37,4,2021-01-01 10:27:25,14
38,9,2021-01-01 10:43:06,15
39,2,2021-01-01 10:50:34,7
40,1,2021-01-01 10:58:55,8
41,1,2021-01-01 11:04:30,5
42,1,2021-01-01 11:08:13,3
43,3,2021-01-01 11:10:56,2
44,0,2021-01-01 11:16:01,5
45,1,2021-01-01 11:18:59,2
46,8,2021-01-01 11:22:36,3
47,1,2021-01-01 11:24:51,2
48,1,2021-01-01 11:28:33,3
49,2,2021-01-01 11:28:40,0
50,1,2021-01-01 11:31:57,3
51,6,2021-01-01 11:36:07,4
52,7,2021-01-01 11:36:19,0
53,0,2021-01-01 11:37:49,1
54,7,2021-01-01 11:42:18,4
55,1,2021-01-01 11:45:03,2
56,3,2021-01-01 11:45:21,0
57,8,2021-01-01 11:49:05,3
58,2,2021-01-01 11:55:09,6
59,8,2021-01-01 11:56:45,1
60,3,2021-01-01 11:59:48,3
61,4,2021-01-01 12:03:57,4
62,0,2021-01-01 12:08:13,4
63,2,2021-01-01 12:14:28,6
64,9,2021-01-01 12:14:59,0
65,0,2021-01-01 12:16:43,1
66,0,2021-01-01 12:26:38,9
67,14,2021-01-01 12:28:23,1
68,0,2021-01-01 12:32:14,3
69,2,2021-01-01 12:42:19,10
70,9,2021-01-01 12:42:29,0
71,4,2021-01-01 12:44:03,1
72,4,2021-01-01 12:47:27,3
73,1,2021-01-01 12:48:54,1
74,2,2021-01-01 12:52:00,3
75,4,2021-01-01 12:55:42,3
76,7,2021-01-01 12:56:38,0
77,13,2021-01-01 13:03:51,7
78,1,2021-01-01 13:07:29,3
79,0,2021-01-01 13:10:32,3
80,4,2021-01-01 13:15:42,5
81,23,2021-01-01 13:26:19,10
82,6,2021-01-01 13:32:14,5
83,1,2021-01-01 13:38:38,6
84,25,2021-01-01 13:43:29,4
85,1,2021-01-01 13:48:25,4
86,10,2021-01-01 13:52:34,4
87,0,2021-01-01 13:55:12,2
88,3,2021-01-01 14:01:05,5
89,0,2021-01-01 14:09:53,8
90,1,2021-01-01 14:10:01,0
91,4,2021-01-01 14:11:42,1
92,0,2021-01-01 14:11:59,0
93,2,2021-01-01 14:13:16,1
94,2,2021-01-01 14:15:26,2
95,3,2021-01-01 14:15:28,0
96,5,2021-01-01 14:23:38,8
97,1,2021-01-01 14:25:24,1
98,9,2021-01-01 14:27:34,2
99,0,2021-01-01 14:29:15,1
100,2,2021-01-01 14:37:03,7
